county,county_fips,state_id,state_name,lat,lng,population
Hardeman,48197,TX,Texas,34.2903,-99.7457,3958
Knox,29103,MO,Missouri,40.1282,-92.1481,3948
Echols,13101,GA,Georgia,30.7101,-82.894,3944
Ellis,40045,OK,Oklahoma,36.2184,-99.7547,3936
Hemphill,48211,TX,Texas,35.8375,-100.2705,3901
Sargent,38081,ND,North Dakota,46.1078,-97.6306,3899
Hardin,17069,IL,Illinois,37.5182,-88.2668,3890
Wells,38103,ND,North Dakota,47.5875,-99.6609,3889
Edmunds,46045,SD,South Dakota,45.4188,-99.2153,3876
Kearny,20093,KS,Kansas,38.0002,-101.3199,3863
Lewis,16061,ID,Idaho,46.237,-116.4263,3850
Lyman,46085,SD,South Dakota,43.8958,-99.8474,3831
Fisher,48151,TX,Texas,32.7428,-100.4022,3827
Costilla,8023,CO,Colorado,37.2781,-105.4283,3810
Sutton,48435,TX,Texas,30.4984,-100.5382,3793
Cavalier,38019,ND,North Dakota,48.7723,-98.4648,3769
Reagan,48383,TX,Texas,31.3662,-101.5231,3766
Lake of the Woods,27077,MN,Minnesota,48.7712,-94.9046,3747
Harper,40059,OK,Oklahoma,36.7888,-99.6673,3730
Clark,46025,SD,South Dakota,44.8583,-97.7295,3715
Chase,31029,NE,Nebraska,40.5242,-101.698,3707
Knox,48275,TX,Texas,33.6061,-99.7414,3679
Sweet Grass,30097,MT,Montana,45.8139,-109.941,3676
Kinney,48271,TX,Texas,29.3502,-100.418,3674
Upton,48461,TX,Texas,31.3687,-102.0431,3651
Roger Mills,40129,OK,Oklahoma,35.6883,-99.6958,3635
Adams,19003,IA,Iowa,41.029,-94.6992,3633
Mercer,29129,MO,Missouri,40.4223,-93.5686,3623
Smith,20183,KS,Kansas,39.7852,-98.7855,3594
Kimball,31105,NE,Nebraska,41.1977,-103.7149,3576
Baca,8009,CO,Colorado,37.3192,-102.5604,3570
Baylor,48023,TX,Texas,33.6165,-99.2135,3560
Catron,35003,NM,New Mexico,33.9153,-108.4047,3547
Nance,31125,NE,Nebraska,41.3973,-97.9922,3525
Webster,31181,NE,Nebraska,40.1764,-98.5,3497
Osborne,20141,KS,Kansas,39.3503,-98.768,3494
Bennett,46007,SD,South Dakota,43.195,-101.664,3430
Real,48385,TX,Texas,29.8317,-99.8222,3429
Hanson,46061,SD,South Dakota,43.6748,-97.7873,3423
Crockett,48105,TX,Texas,30.723,-101.4121,3393
Aleutians East,2013,AK,Alaska,55.3665,-161.9813,3389
Sheridan,30091,MT,Montana,48.7212,-104.5047,3389
Harlan,31083,NE,Nebraska,40.1765,-99.4046,3380
Granite,30039,MT,Montana,46.4045,-113.4404,3325
Donley,48129,TX,Texas,34.9654,-100.814,3317
Lipscomb,48295,TX,Texas,36.2777,-100.2731,3301
Coke,48081,TX,Texas,31.8886,-100.5299,3298
Jackson,46071,SD,South Dakota,43.6942,-101.6281,3296
Shackelford,48417,TX,Texas,32.736,-99.3541,3291
Traverse,27155,MN,Minnesota,45.7722,-96.4716,3282
Chautauqua,20019,KS,Kansas,37.15,-96.2454,3280
Petersburg,2195,AK,Alaska,57.1195,-132.9344,3278
Emmons,38029,ND,North Dakota,46.2851,-100.2387,3262
Foster,38031,ND,North Dakota,47.4571,-98.883,3231
Woodson,20207,KS,Kansas,37.8867,-95.7401,3117
Bowman,38011,ND,North Dakota,46.1126,-103.5206,3091
Baker,13007,GA,Georgia,31.3261,-84.4447,3090
Hand,46059,SD,South Dakota,44.5478,-99.0049,3064
Stanley,46117,SD,South Dakota,44.4123,-100.7359,3058
Sherman,48421,TX,Texas,36.2777,-101.8935,3046
Hall,48191,TX,Texas,34.5308,-100.6811,3025
